index,0,1,2,credit
26457,0,0,0,1.6729226994546806
26458,0,0,0,1.5697772180684009
26459,0,0,0,1.5526783404559654
26460,0,0,0,1.6242845212830246
26461,0,0,0,1.401419929089092
26462,0,0,0,1.432207381597903
26463,0,0,0,1.4409242314286612
26464,0,0,0,1.3823785900875003
26465,0,0,0,1.5152990597850813
26466,0,0,0,1.552671866367366
26467,0,0,0,1.6377846542639203
26468,0,0,0,1.5709067388587192
26469,0,0,0,1.4867087021135401
26470,0,0,0,1.5436886997133712
26471,0,0,0,1.6414373708035959
26472,0,0,0,1.4214916819777221
26473,0,0,0,1.45730315769162
26474,0,0,0,1.4199902666095627
26475,0,0,0,1.5227657466010425
26476,0,0,0,1.5869756921932447
26477,0,0,0,1.4277792128185942
26478,0,0,0,1.4713724983934697
26479,0,0,0,1.5955398328078059
26480,0,0,0,1.5304906630601767
26481,0,0,0,1.4488639811459891
26482,0,0,0,1.6053437282409033
26483,0,0,0,1.4881220714510779
26484,0,0,0,1.432704735048818
26485,0,0,0,1.578807189560258
26486,0,0,0,1.4020244195373937
26487,0,0,0,1.5113801077861653
26488,0,0,0,1.423841332168462
26489,0,0,0,1.5029044150118334
26490,0,0,0,1.4613548578396387
26491,0,0,0,1.5845156002647123
26492,0,0,0,1.587886040835099
26493,0,0,0,1.4091928336398134
26494,0,0,0,1.5973562325889639
26495,0,0,0,1.516104385576727
26496,0,0,0,1.4267630034268477
26497,0,0,0,1.6194748915854014
26498,0,0,0,1.367336445757039
26499,0,0,0,1.5546611665713703
26500,0,0,0,1.4293071796037558
26501,0,0,0,1.5800002120067405
26502,0,0,0,1.5591381164276064
26503,0,0,0,1.4334287334349258
26504,0,0,0,1.4345572104660895
26505,0,0,0,1.6995358146472845
26506,0,0,0,1.3588597818989279
26507,0,0,0,1.4251818947483534
26508,0,0,0,1.5616486594792793
26509,0,0,0,1.5036133934136762
26510,0,0,0,1.6350247258517934
26511,0,0,0,1.4981584534398074
26512,0,0,0,1.4767818826974444
26513,0,0,0,1.5228665868222342
26514,0,0,0,1.5996433644364942
26515,0,0,0,1.647889698155387
26516,0,0,0,1.4267488732935902
26517,0,0,0,1.376932342609178
26518,0,0,0,1.5906431341294274
26519,0,0,0,1.6628487845842694
26520,0,0,0,1.4353549168923387
26521,0,0,0,1.397507203731747
26522,0,0,0,1.4002437207253107
26523,0,0,0,1.5038831795504477
26524,0,0,0,1.359500684601854
26525,0,0,0,1.4678863753524705
26526,0,0,0,1.4826411480158201
26527,0,0,0,1.6225198846979203
26528,0,0,0,1.39962378011873
26529,0,0,0,1.599507449922616
26530,0,0,0,1.634597794839129
26531,0,0,0,1.5594164833119626
26532,0,0,0,1.565257807858815
26533,0,0,0,1.4939762210623804
26534,0,0,0,1.5030014736567365
26535,0,0,0,1.6334941962479212
26536,0,0,0,1.451061248342736
26537,0,0,0,1.5074003996164715
26538,0,0,0,1.4021669744247387
26539,0,0,0,1.6520092843578402
26540,0,0,0,1.4243174904194909
26541,0,0,0,1.4891149832605035
26542,0,0,0,1.6045304958548794
26543,0,0,0,1.4736259408531605
26544,0,0,0,1.4920367878473553
26545,0,0,0,1.5840474879406627
26546,0,0,0,1.496379711287423
26547,0,0,0,1.5170971317131192
26548,0,0,0,1.594574115546443
26549,0,0,0,1.4001097220762055
26550,0,0,0,1.4640193103530468
26551,0,0,0,1.6219890018135759
26552,0,0,0,1.6005229831497383
26553,0,0,0,1.609491769811489
26554,0,0,0,1.419244524058966
26555,0,0,0,1.4347172546912819
26556,0,0,0,1.5652577974362574
26557,0,0,0,1.461008515578416
26558,0,0,0,1.5003468727844096
26559,0,0,0,1.6428845852107647
26560,0,0,0,1.6143305180438627
26561,0,0,0,1.6332822250341228
26562,0,0,0,1.5896569181902747
26563,0,0,0,1.7014544153566784
26564,0,0,0,1.4869820160613143
26565,0,0,0,1.5172782789645844
26566,0,0,0,1.5143806181070234
26567,0,0,0,1.4129601480489233
26568,0,0,0,1.393495128904533
26569,0,0,0,1.3748206162461272
26570,0,0,0,1.3940126061404527
26571,0,0,0,1.5261880505712055
26572,0,0,0,1.4145160158079473
26573,0,0,0,1.674657700021809
26574,0,0,0,1.5093770628899355
26575,0,0,0,1.46124494804735
26576,0,0,0,1.5143286356673749
26577,0,0,0,1.6233484801292122
26578,0,0,0,1.4587234851000266
26579,0,0,0,1.400122701333311
26580,0,0,0,1.3875390588579812
26581,0,0,0,1.4226203345180066
26582,0,0,0,1.5035618184272865
26583,0,0,0,1.502966854830256
26584,0,0,0,1.5030490063338615
26585,0,0,0,1.3934286153628548
26586,0,0,0,1.550735114304918
26587,0,0,0,1.4430706298262042
26588,0,0,0,1.6475767778917196
26589,0,0,0,1.644486740414918
26590,0,0,0,1.4576239155137367
26591,0,0,0,1.423092717105939
26592,0,0,0,1.4534359720937395
26593,0,0,0,1.6345628970268575
26594,0,0,0,1.4933529586236598
26595,0,0,0,1.5826038076208415
26596,0,0,0,1.567023330735693
26597,0,0,0,1.4058761063746557
26598,0,0,0,1.4716664764095324
26599,0,0,0,1.4524511478370838
26600,0,0,0,1.5490965439835929
26601,0,0,0,1.5144480280380634
26602,0,0,0,1.6408033266022282
26603,0,0,0,1.4629054737090201
26604,0,0,0,1.537410782118417
26605,0,0,0,1.6307227429034516
26606,0,0,0,1.4658994204541789
26607,0,0,0,1.423763553244729
26608,0,0,0,1.6192763761676703
26609,0,0,0,1.5319382180754901
26610,0,0,0,1.3913975634478668
26611,0,0,0,1.5700367099300143
26612,0,0,0,1.5135608723894411
26613,0,0,0,1.4907701789357017
26614,0,0,0,1.5277236364012299
26615,0,0,0,1.449588434768563
26616,0,0,0,1.6437612826326058
26617,0,0,0,1.4173418208852153
26618,0,0,0,1.458406254099764
26619,0,0,0,1.3998827316117952
26620,0,0,0,1.4235426592031106
26621,0,0,0,1.5989407606345698
26622,0,0,0,1.414597547906701
26623,0,0,0,1.4427693653158415
26624,0,0,0,1.6535086315838345
26625,0,0,0,1.4678157246861834
26626,0,0,0,1.4160263934917832
26627,0,0,0,1.5515898159511796
26628,0,0,0,1.4851710642231588
26629,0,0,0,1.544564262924796
26630,0,0,0,1.4243960557829098
26631,0,0,0,1.5679629076111992
26632,0,0,0,1.6926233255307401
26633,0,0,0,1.5582603191504292
26634,0,0,0,1.4844120555897455
26635,0,0,0,1.5093876995131013
26636,0,0,0,1.4707766371745974
26637,0,0,0,1.5546790474226344
26638,0,0,0,1.4909929129414197
26639,0,0,0,1.5629099358947747
26640,0,0,0,1.6011989638639377
26641,0,0,0,1.4788282674342976
26642,0,0,0,1.5273345341298183
26643,0,0,0,1.4977819018872303
26644,0,0,0,1.6932723540569787
26645,0,0,0,1.4953166979909904
26646,0,0,0,1.4643545235539832
26647,0,0,0,1.4693957325198468
26648,0,0,0,1.5623155521512395
26649,0,0,0,1.5232862030847258
26650,0,0,0,1.421944337421486
26651,0,0,0,1.374991369042125
26652,0,0,0,1.3763719488938249
26653,0,0,0,1.5276938664652688
26654,0,0,0,1.4614507002019288
26655,0,0,0,1.4976433111263363
